#{"t_start": 1697769430.1259322, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
110.0,1511,1.673303
185.0,3107,3.257299
50.0,1299,3.95187
80.0,1947,4.950464
135.0,2345,6.166951
185.0,2077,7.224216
140.0,2041,8.267582
110.0,1675,9.209643
120.0,1919,10.18215
55.0,1509,10.963569
125.0,3015,12.528971
210.0,2125,13.590209
210.0,3001,15.133775
55.0,1483,15.860004
155.0,2079,16.870451
260.0,2639,18.17538
210.0,3069,19.752945
35.0,1869,20.702485
90.0,1095,21.242314
105.0,1747,22.110047
185.0,2021,23.131592
60.0,1359,23.801633
230.0,2505,25.054725
185.0,2101,26.111035
225.0,2357,27.285535
125.0,2517,28.566493
125.0,2359,29.73185
215.0,2795,31.147554
80.0,1911,32.08271
105.0,1583,32.872723
65.0,1181,33.472831
165.0,2111,34.52198
20.0,1565,35.305485
115.0,1983,36.313014
50.0,1531,37.063679
135.0,1981,38.048125
255.0,3535,39.818355
65.0,1171,40.429334
55.0,1587,41.237315
80.0,1519,41.988419
85.0,1747,42.854904
155.0,2697,44.18428
440.0,2679,45.504832
135.0,1545,46.279123
105.0,1787,47.201375
105.0,1941,48.182025
270.0,3369,49.874019
135.0,2097,50.946481
205.0,2555,52.271141
105.0,2119,59.218319
45.0,1197,59.827169
110.0,1833,60.757785
160.0,2491,62.035982
230.0,2039,63.055275
75.0,1155,63.646626
110.0,1917,64.61953
55.0,1213,65.254205
110.0,1711,66.117512
50.0,1961,67.106247
410.0,2453,68.372619
45.0,1167,68.951002
135.0,1535,69.713773
65.0,1147,70.289086
210.0,2015,71.325987
430.0,3493,73.068086
60.0,1495,73.825987
90.0,1639,74.657192
230.0,3355,76.356657
120.0,1955,77.332874
80.0,1207,77.951809
210.0,2477,79.231843
240.0,2829,80.676134
135.0,2461,81.926553
520.0,3477,83.650734
90.0,1885,84.613714
110.0,1595,85.415837
65.0,1595,86.2256
215.0,2437,87.456449
135.0,2239,88.577445
165.0,2315,89.757449
180.0,2363,90.966905
50.0,1751,91.863952
155.0,2357,93.059222
75.0,1953,94.063364
155.0,2027,95.13922
460.0,3893,97.116032
110.0,2033,98.160126
45.0,1509,98.968746
50.0,1131,99.588246
0.0,1627,100.476255
335.0,3177,102.093498
380.0,2927,103.585221
155.0,2183,104.689077
55.0,1501,105.472578
290.0,2157,106.576444
65.0,1259,107.211906
155.0,2007,108.231024
30.0,1449,108.982575
180.0,2113,110.042765
370.0,3147,117.181859
60.0,1133,117.750464
210.0,2941,119.249838
110.0,2105,120.334232
90.0,1883,121.286891
210.0,2523,122.584125
20.0,1143,123.161791
105.0,2047,124.208549
185.0,3243,125.821777
80.0,1439,126.550166
250.0,2355,127.765221
265.0,2861,129.204209
105.0,1863,130.174398
120.0,1961,131.17468
55.0,1113,131.741238
110.0,1915,132.701401
315.0,3213,134.297698
135.0,1981,135.331068
155.0,1889,136.296803
105.0,1169,136.881588
110.0,1821,137.818983
60.0,1275,138.470805
390.0,2301,139.646596
160.0,1859,140.627131
110.0,1465,141.384811
240.0,2837,142.854393
215.0,2563,144.153831
135.0,2319,145.366599
80.0,1733,146.252241
105.0,1839,147.185262
240.0,2461,148.470212
135.0,1925,149.451463
105.0,1877,150.423054
85.0,1685,151.308139
120.0,2057,152.357426
65.0,1769,153.247941
105.0,1477,154.020495
180.0,2091,155.10248
140.0,2173,156.228213
75.0,1295,156.873613
30.0,1151,157.447638
180.0,2083,158.502595
110.0,1405,159.232897
135.0,2241,160.375865
45.0,1653,161.216303
355.0,3593,163.014995
75.0,1257,163.651481
50.0,1151,164.25276
45.0,1489,165.023845
225.0,2547,166.320405
65.0,1519,167.111221
230.0,2823,173.745014
170.0,1965,174.740762
80.0,1197,175.367696
110.0,1863,176.344514
105.0,1219,176.978413
215.0,2719,178.375166
235.0,2733,179.75662
80.0,1539,180.580274
120.0,1915,181.611892
110.0,1807,182.573344
180.0,2039,183.650821
160.0,2885,185.092736
215.0,3169,186.734694
80.0,1143,187.327876
345.0,3943,189.287554
70.0,1541,190.069401
120.0,1611,190.900288
165.0,2715,192.281423
285.0,2441,193.515934
120.0,1897,194.501295
90.0,1459,195.267369
345.0,3089,196.898932
135.0,1985,197.908619
170.0,2357,199.148045
110.0,1815,200.064405
165.0,2029,201.130188
180.0,1991,202.187141
180.0,2185,203.308381
135.0,2405,204.548647
180.0,2453,205.778661
100.0,1141,206.378329
140.0,1981,207.414981
105.0,1673,208.269685
130.0,1871,209.216285
185.0,2111,210.309227
180.0,2837,211.752996
110.0,1655,212.619327
135.0,1885,213.572849
180.0,2041,214.608638
210.0,1665,215.466703
315.0,3211,217.091128
50.0,1591,217.941151
220.0,2545,219.2546
410.0,2555,220.535278
210.0,2559,221.824632
105.0,1621,222.643915
220.0,2667,223.999322
585.0,3413,225.683021
155.0,2063,235.018042
195.0,2543,244.119221
180.0,2471,252.734907
155.0,1943,259.386654
135.0,1561,264.880159
55.0,1501,270.32738
135.0,1697,276.648945
180.0,2185,284.867743
230.0,3033,297.409414
215.0,2393,306.410153
125.0,1881,313.283274
160.0,2369,323.304601
5.0,1285,327.905546
